Brand,Product name,Volume (mL),Price (HKD),Price per Liter (HKD)
Meadows,Meadows Distilled Water 300ML,300,3,10
Meadows,Meadows Distilled Water 1.5LT,1500,5.5,3.666666667
Meadows,Meadows Distilled Water 5.5LT,5500,20,3.636363636
Watsons,Watsons Water Distilled Water 800ML,800,6.5,8.125
Meadows,Meadows Distilled Water 550ML,550,3.5,6.363636364
Watsons,Watsons Water Distilled Water 4.5L,4500,24,5.333333333
Watsons,Watsons Water Watsons Mineralized Water 4.5L,4500,24,5.333333333
Vita,Vita Distilled Water 700ML,700,5,7.142857143
Watsons,Watsons Water Distilled Water 430ML,430,6,13.95348837
Vita,Vita Distilled Water 430ML,430,4,9.302325581
Watsons,Watsons Water Distilled Water 1.8L,1800,9.5,5.277777778
C'estbon,C'estbon Purified Water 1.18LT,1180,6.5,5.508474576
C'estbon,C'estbon Purified Drinking Water 4.5LT,4500,19.9,4.422222222
Watsons,Watsons Water Ion Water 1.2L,1200,18,15
Watsons,Watsons Water Alkaline Water 9.0 1.2L,1200,18,15
C'estbon,C'estbon Purified Water 1.555LT,1555,8,5.144694534
Meadows,Meadows Natural Mineral Water 5.5LT,5500,21,3.818181818
Meadows,Meadows Natural Mineral Water 1.5LT,1500,6,4
Cool,Cool Distilled Water 1.5LT,1500,11,7.333333333
Lotte,Lotte Natural Mineral Water 2LT,2000,13,6.5
Bonaqua,Bonaqua Water Labelless PET 600ML,600,6.5,10.83333333
Evian,Evian Natural Mineral Water 500ML,500,10,20
Cool,Cool Distilled Water 750ML,750,6.5,8.666666667
Evian,Evian Natural Mineral Water 1.5LT,1500,18,12
Bonaqua,Bonaqua Mineralized Water 500ML,500,6,12
Volvic,Volvic Natural Mineral Water 1.5LT,1500,16,10.66666667
Bonaqua,Bonaqua Mineralised Water 770ML,770,8,10.38961039
Vita,Vita Distilled Water 1.5LT,1500,7,4.666666667
C'estbon,C'estbon Purified Drinking Water 555ML,555,3,5.405405405
San Benedetto,San Benedetto Natural Mineral Water 1.5L,1500,16,10.66666667
